"","handle","mm_rating","mm_events","mm_reg","algo_rating","algo_events","algo_reg","country","payments","days_as_member","gender","school","treatment","room_size","room_id","mm_rating_imputed","age","educ","prlang","risk","submission","score.prov.max","score.sys.max"
"171","miguel_clean",0.433517495395948,5,7,1083,11,12,"Poland",0,513.277037037037,"Male","No school","tournament","Small","2D",FALSE,"31-40 years","Postgraduate/Master of arts","C++","5",56,0.81738554,0.8205817
"172","Mimino",0.605156537753223,34,51,2668,159,182,"Slovakia",5670,2862.5565162037,"Male","Some school","tournament","Small","2A",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","8",1,0.80163083,0.8018433
"173","MIPT_Alex",0.531491712707182,6,13,1610,32,35,"Russia",1000,2987.76506944444,"Male","Some school","race","Large","1E",FALSE,"20-25 years old","Postgraduate/Master of arts","C#","5",0,0,0
"174","mln",0.318968692449355,4,14,743,121,152,"Bulgaria",39890.4,3546.39716435185,"Male","No school","race","Large","1G",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C#","3",28,0.83076388,0.8143993
"175","Mojito1",0.739226519337017,30,47,1884,99,104,"Poland",449175,3817.78386574074,"Male","Some school","race","Small","1D",FALSE,"31-40 years","Doctorate/PhD","C#","3",0,0,0
"176","MonicaMuranyi",0.318600368324125,0,4,960,24,25,"Romania",104586.31,1902.54454861111,"Female","No school","tournament","Large","2E",TRUE,"26-30 years","Undergraduate/Bachelor's degree","Java","7",0,0,0
"177","moriara",0.390055248618785,0,2,0,0,1,"Turkey",0,1687.62709490741,"Female","Some school","race","Small","1B",TRUE,"20-25 years old","Postgraduate/Master of arts","Java","7",0,0,0
"178","moshu",0.387108655616943,46,79,624,45,50,"Romania",0,2227.27806712963,"Male","No school","target","Small","3D",FALSE,"51 years and above","Postgraduate/Master of arts","C++","5",17,0.81216068,0.8128193
"179","mra",0.110128913443831,1,3,1037,1,1,"Turkey",3000,1420.22777777778,"Male","No school","tournament","Large","2E",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Java","5",0,0,0
"180","Mril284",0.167219152854512,1,5,0,0,0,"United States",0,375.06625,"Male","No school","target","Small","3C",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Java","8",0,0,0
"181","mrmillers",0.484714548802947,0,2,1102,2,3,"China",200,236.582592592593,"Male","Some school","target","Large","3H",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","4",0,0,0
"182","mystic_coder",0.431307550644567,0,13,771,1,3,"India",0,2068.35149305556,"Male","No school","race","Large","1E",TRUE,"31-40 years","Undergraduate/Bachelor's degree","C++","5",0,0,0
"183","neo.subrata",0.219521178637201,8,24,414,6,7,"India",0,1058.40849537037,"Male","No school","target","Small","3A",FALSE,"26-30 years","Undergraduate/Bachelor's degree","C#","9",2,0.4970481,0.4851400221
"184","Neodym",0.369797421731123,0,3,1330,3,3,"Belarus",0,808.483738425926,"Male","Some school","target","Large","3G",TRUE,"<20 years old","High School","C++","4",0,0,0
"185","neotheicebird",0.323756906077348,1,3,0,0,0,"India",0,72.7939814814815,"Male","No school","target","Small","3A",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","10-completely willing",0,0,0
"186","net_buster",0.30828729281768,17,32,931,43,47,"Poland",6050,3127.85318287037,"Male","Some school","race","Large","1F",FALSE,"26-30 years","Doctorate/PhD","C#","2",0,0,0
"187","Nfcj000",0.503867403314917,0,5,1076,20,27,"China",0,1795.81971064815,"Male","Some school","target","Small","3A",TRUE,NA,NA,NA,NA,0,0,0
"188","nhzp339",0.896132596685083,49,91,1981,338,366,"China",1301276.02,3783.68570601852,"Male","Some school","target","Small","3D",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C++","4",0,0,0
"189","nic.lim55",0.242357274401473,2,5,0,0,0,"Australia",0,82.7079166666667,"Male","No school","tournament","Small","2C",FALSE,"<20 years old","Undergraduate/Bachelor's degree","Python","6",0,0,0
"190","Nickolas",0.451933701657459,14,29,1800,73,83,"Ukraine",121649,3517.77584490741,"Female","Some school","tournament","Small","2A",FALSE,"26-30 years","Postgraduate/Master of arts","C++","4",0,0,0
"191","Nil_ct",0.386740331491713,29,43,1146,136,152,"France",34,2936.18792824074,"Female","Some school","race","Large","1F",FALSE,"41-50 years","Postgraduate/Master of arts","Java","7",0,0,0
