Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
defatigue,,,,,,0,0,0,,,,,,,,,279,0,,0
sasikanth9,,,,,,0,0,0,,,,,,,,,279,0,,0
martin.trojak,1469,1,27,4,27,0,0,0,68,75.6272,385,1469,1469,2,Active Molecules,12/29/2014,279,2,,0
marek.cygan,2276,16,45.625,11.5,2,0,4,7,14,94.9821,501,1505,2276,3,Marathon Match 86,2/23/2015,279,16,,0
vaa2804,1171,4,80.25,6.5,43,0,0,0,133,52.3298,253,1171,1229,10,Child Stuntedness 5,2/19/2015,279,18,,0
baseballnut,991,74,93.67567568,6.864864865,3,0,1,1,,,253,920,1341,,Marathon Match 86,2/23/2015,279,0,,0
ashersyed,742,11,230.7272727,4.818181818,3,0,1,1,,,239,728,1002,,ISS Longeron Challenge,1/16/2013,279,0,,0
pooya_,1607,5,82,4.2,18,0,0,0,,,291,1607,1703,,TCO13 Round 1,3/27/2013,279,0,,0
rrr_guru,1042,17,111,4.705882353,2,0,1,1,180,35.4839,255,842,1049,14,Trip Safety,1/26/2015,279,16,,0
RRx,1427,4,83,4.75,4,0,1,1,,,512,1427,1870,,TCO14 Round 3,6/25/2014,279,0,,0
ty70,1082,13,88.84615385,6.307692308,22,0,0,0,160,42.6523,150,962,1109,20,Child Stuntedness 5,2/19/2015,279,26,,0
wzyxp_123,1293,9,23.75,12.66666667,6,0,0,1,102,63.4409,279,1293,1648,14,Child Stuntedness 4,12/23/2014,279,26,1,1
kyerise,593,6,94,2.333333333,46,0,0,0,276,1.0753,292,593,843,1,Design of Experiments Challeng,10/17/2014,279,1,,0
tri_code,967,1,37,1,37,0,0,0,,,385,967,967,,GWASSpeedup,4/24/2013,279,0,,0
haraduka,,,,,,0,0,0,,,,,,,,,279,0,,0
ISMAX,829,4,59.75,7.5,35,0,0,0,243,12.9032,348,829,1169,15,Marathon Match 86,2/23/2015,279,18,,0
Seip_meginu,1229,1,55,2,55,0,0,0,119,57.3477,385,1229,1229,1,Trip Safety,1/26/2015,279,3,,0
ribeiro,769,1,101,1,101,0,0,0,,,385,769,769,,Marathon Match 86,2/23/2015,279,0,,0
danbanica,1414,5,89.66666667,4.5,28,0,0,0,,,310,1297,1464,,TCO13 Round 2,5/1/2013,279,0,,0
mcw1142,971,30,124.0333333,2.5,2,0,1,1,,,330,792,1353,,TCO14 Round 2,5/21/2014,279,0,,0
ll931110,1141,1,60,6,60,0,0,0,142,49.1039,385,1141,1141,3,Active Molecules,12/29/2014,279,4,1,1
Nfcj000,,,,,,0,0,0,,,,,,,,,279,0,,0
cup_of_tea,667,10,162.9,1.9,28,0,0,0,,,172,571,891,,TCO14 Round 3,6/25/2014,279,0,,0
elder1g,2308,22,7.454545455,12.68181818,1,3,11,18,12,95.6989,350,1632,2308,1,Active Molecules,12/29/2014,279,4,,0
neo.subrata,911,8,155.75,3.25,22,0,0,0,,,305,732,971,,Marathon Match,8/11/2014,279,0,,0
Orisano,,,,,,0,0,0,,,,,,,,,279,0,,0
shivamsihare,,,,,,0,0,0,,,,,,,,,279,0,,0
neotheicebird,1194,1,59,4,59,0,0,0,129,53.7634,385,1194,1194,2,Trip Safety,1/26/2015,279,13,,0
midrux,1000,1,172,4,4,0,1,1,,,385,1000,1000,,TCO09 MM Round 1,2/25/2009,279,0,,0
Irioth,1621,37,68.81081081,3.243243243,1,1,2,4,,,465,1235,1842,,Marathon Match 86,2/23/2015,279,0,,0
sweetkang,1318,3,67,2.333333333,37,0,0,0,,,364,1154,1318,,OctaveClassifier,2/14/2014,279,0,,0
lionelc,989,1,,0,,0,0,0,201,27.957,385,989,989,36,Child Stuntedness 4,12/23/2014,279,57,1,1
EvbCFfp1XB,1842,21,34.76190476,7.047619048,10,0,0,3,31,88.8889,197,1384,1864,6,Marathon Match 86,2/23/2015,279,26,,0
MahmoudAGawad,,,,,,0,0,0,,,,,,,,,279,0,,0
f1zz0_13,,,,,,0,0,0,,,,,,,,,279,0,,0
mayoko,,,,,,0,0,0,,,,,,,,,279,0,,0
vidhyabhushanv,,,,,,0,0,0,,,,,,,,,279,0,,0
daga_sumit,,,,,,0,0,0,,,,,,,,,279,0,,0
ryuwonha,1297,6,137.6666667,2.833333333,6,0,0,1,,,302,1297,1572,,TCO11 Round 1,4/13/2011,279,0,,0
Ra16bit,,,,,,0,0,0,,,,,,,,,279,0,,0
abundrew,1484,19,70.84210526,8.315789474,12,0,0,0,,,264,1182,1537,,Marathon Match 86,2/23/2015,279,0,,0
TahaMahmoud,,,,,,0,0,0,,,,,,,,,279,0,,0
megaterik,1444,11,57.72727273,9.272727273,4,0,1,1,72,74.1936,529,1296,1693,1,Child Stuntedness 5,2/19/2015,279,2,1,1
ourtake,1094,4,145.5,4.5,25,0,0,0,156,44.086,397,842,1094,19,Child Stuntedness 5,2/19/2015,279,26,1,1
antslag,1143,6,9.833333333,3,6,0,0,4,,,271,1143,1214,,Marathon Match 80,5/1/2013,279,0,,0
ananthhh,836,1,43,1,43,0,0,0,,,385,836,836,,EPA ToxCast Challenge,4/23/2014,279,0,,0
Mril284,769,1,101,1,101,0,0,0,,,385,769,769,,Marathon Match 86,2/23/2015,279,0,,0
112atn323,2005,4,11.5,17.5,2,0,1,3,22,92.1147,588,1214,2005,4,Child Stuntedness 5,2/19/2015,279,26,,0
chicapi,,,355,1,355,0,0,0,,,,,,,,,279,0,,0
nhzp339,2748,58,10.86206897,27.86206897,1,12,35,46,3,98.9247,236,1489,2825,1,Child Stuntedness 5,2/19/2015,279,26,,0
smel,1333,4,79.25,2,7,0,0,1,,,264,1320,1438,,MM 35,6/11/2008,279,0,,0
moshu,1366,67,51.79104478,19.17910448,6,0,0,8,87,68.8172,302,1029,1537,2,Trip Safety,1/26/2015,279,4,,0
xiakunxian923,760,1,131,1,131,0,0,0,,,385,760,760,,AlleleClassifier,2/7/2014,279,0,,0
shilov,1432,8,110.5,7.625,27,0,0,0,,,363,1070,1432,,Marathon Match 86,2/23/2015,279,0,,0
OlexandrT,1597,8,63.375,11.125,3,0,1,1,,,343,1186,1597,,Marathon Match,8/11/2014,279,0,,0
gutoo,1075,9,32.11111111,2.888888889,11,0,0,0,162,41.9355,234,1025,1268,2,Trip Safety,1/26/2015,279,3,,0
yassine12,,,,,,0,0,0,,,,,,,,,279,0,,0
lipsum,1110,10,55.3,5.8,10,0,0,1,149,46.595,298,988,1674,18,Child Stuntedness 5,2/19/2015,279,26,,0
azukun,1544,9,66.44444444,7.777777778,1,1,1,1,,,277,1394,1610,,TCO14 Round 2,5/21/2014,279,0,,0
andresduque,1688,32,59.5,5.4375,2,0,2,5,48,82.7957,268,1135,1753,1,Marathon Match 86,2/23/2015,279,2,,0
aswmtjdsj,760,2,44,3.5,8,0,0,1,259,7.1685,385,760,760,25,Active Molecules,12/29/2014,279,26,1,1
not_,1835,11,42.45454545,13.90909091,6,0,0,2,,,269,1434,1964,,Marathon Match 86,2/23/2015,279,0,,0
1957,,,,,,0,0,0,,,,,,,,,279,0,,0
ynasu,1797,2,12,1,3,0,1,1,,,306,1752,1797,,Marathon Match,8/11/2014,279,0,,0
yedtoss,1043,11,70,2.363636364,23,0,0,0,179,35.8423,358,922,1108,1,Child Stuntedness 3,12/4/2014,279,1,1,1
yrtchn,1550,21,24.95238095,14.38095238,1,1,3,5,61,78.1362,212,1550,1713,5,Child Stuntedness 5,2/19/2015,279,18,,0
