MaxCost 	 MinTurkers 	 MinAcceptance 	 MaxRejection 	 AverageCost 	 AverageF
1078	3	0.2	0.0	1079.0	0.7405314
1078	3	0.30000000000000004	0.0	1079.0	0.7364946
1078	3	0.30000000000000004	0.1	1079.0	0.7415113
1078	3	0.30000000000000004	0.2	1079.0	0.73324746
1078	3	0.4	0.0	1079.0	0.7442551
1078	3	0.4	0.1	1079.0	0.7372184
1078	3	0.4	0.2	1079.0	0.7432876
1078	3	0.5	0.0	1079.0	0.7337904
1078	3	0.5	0.1	1079.0	0.7322257
1078	3	0.5	0.2	1079.0	0.74136215
1078	3	0.5	0.30000000000000004	1079.0	0.7359462
1078	3	0.6	0.0	1079.0	0.7403531
1078	3	0.6	0.1	1079.0	0.72691756
1078	3	0.6	0.2	1079.0	0.74251103
1078	3	0.6	0.30000000000000004	1079.0	0.7317173
1078	3	0.6	0.4	1079.0	0.74543715
1078	3	0.7	0.0	1079.0	0.70463246
1078	3	0.7	0.1	1079.0	0.7104754
1078	3	0.7	0.2	1079.0	0.7109906
1078	3	0.7	0.30000000000000004	1079.0	0.7176466
1078	3	0.7	0.4	1079.0	0.7055597
1078	3	0.7	0.5	1079.0	0.70937616
1078	3	0.7999999999999999	0.0	1079.0	0.6965061
1078	3	0.7999999999999999	0.1	1079.0	0.70671415
1078	3	0.7999999999999999	0.2	1079.0	0.699197
1078	3	0.7999999999999999	0.30000000000000004	1079.0	0.69305474
1078	3	0.7999999999999999	0.4	1079.0	0.69996613
1078	3	0.7999999999999999	0.5	1079.0	0.69128495
1078	3	0.7999999999999999	0.6	1079.0	0.70926696
1078	3	0.8999999999999999	0.0	1079.0	0.6889866
1078	3	0.8999999999999999	0.1	1079.0	0.70240784
1078	3	0.8999999999999999	0.2	1079.0	0.69205356
1078	3	0.8999999999999999	0.30000000000000004	1079.0	0.6987693
1078	3	0.8999999999999999	0.4	1079.0	0.6960619
1078	3	0.8999999999999999	0.5	1079.0	0.69726866
1078	3	0.8999999999999999	0.6	1079.0	0.69851357
1078	3	0.8999999999999999	0.7	1079.0	0.70685405
1078	3	0.9999999999999999	0.0	1079.0	0.68889695
1078	3	0.9999999999999999	0.1	1079.0	0.68633866
1078	3	0.9999999999999999	0.2	1079.0	0.692787
1078	3	0.9999999999999999	0.30000000000000004	1079.0	0.6841495
1078	3	0.9999999999999999	0.4	1079.0	0.70205235
1078	3	0.9999999999999999	0.5	1079.0	0.695071
1078	3	0.9999999999999999	0.6	1079.0	0.6943617
1078	3	0.9999999999999999	0.7	1079.0	0.7142727
1078	3	0.9999999999999999	0.7999999999999999	1079.0	0.70872813
1078	4	0.2	0.0	1079.0	0.7273987
1078	4	0.30000000000000004	0.0	1079.0	0.729028
1078	4	0.30000000000000004	0.1	1079.0	0.7302868
1078	4	0.30000000000000004	0.2	1079.0	0.73730063
1078	4	0.4	0.0	1079.0	0.74001646
1078	4	0.4	0.1	1079.0	0.73433733
1078	4	0.4	0.2	1079.0	0.73554915
1078	4	0.5	0.0	1079.0	0.71931523
1078	4	0.5	0.1	1079.0	0.73093456
1078	4	0.5	0.2	1079.0	0.730798
