MaxCost 	 MinTurkers 	 MinAcceptance 	 MaxRejection 	 AverageCost 	 AverageF
8085	3	0.2	0.0	1784.0	0.7616394
8085	3	0.30000000000000004	0.0	1784.0	0.7633247
8085	3	0.30000000000000004	0.1	1784.0	0.7660751
8085	3	0.30000000000000004	0.2	1784.0	0.76926
8085	3	0.4	0.0	7463.0	0.8673248
8085	3	0.4	0.1	7185.0	0.8681743
8085	3	0.4	0.2	5671.6665	0.86615485
8085	3	0.5	0.0	7734.6665	0.86267453
8085	3	0.5	0.1	7479.6665	0.86303455
8085	3	0.5	0.2	6481.3335	0.86298746
8085	3	0.5	0.30000000000000004	4762.6665	0.8621928
8085	3	0.6	0.0	7756.6665	0.8473688
8085	3	0.6	0.1	7543.0	0.84625816
8085	3	0.6	0.2	6788.3335	0.8475712
8085	3	0.6	0.30000000000000004	5161.3335	0.85176325
8085	3	0.6	0.4	1784.0	0.8330197
8085	3	0.7	0.0	8086.0	0.8280986
8085	3	0.7	0.1	7903.0	0.828775
8085	3	0.7	0.2	7308.6665	0.8296048
8085	3	0.7	0.30000000000000004	5806.3335	0.8337889
8085	3	0.7	0.4	5284.0	0.8356722
8085	3	0.7	0.5	4622.0	0.83732057
8085	3	0.7999999999999999	0.0	8075.0	0.7498242
8085	3	0.7999999999999999	0.1	8086.0	0.750182
8085	3	0.7999999999999999	0.2	7585.0	0.7541008
8085	3	0.7999999999999999	0.30000000000000004	7084.3335	0.7591501
8085	3	0.7999999999999999	0.4	6377.0	0.76300573
8085	3	0.7999999999999999	0.5	5954.6665	0.7724255
8085	3	0.7999999999999999	0.6	4967.3335	0.77916783
8085	3	0.8999999999999999	0.0	8086.0	0.6649859
8085	3	0.8999999999999999	0.1	8086.0	0.66652626
8085	3	0.8999999999999999	0.2	8086.0	0.6661647
8085	3	0.8999999999999999	0.30000000000000004	7973.6665	0.6661907
8085	3	0.8999999999999999	0.4	7482.6665	0.6736973
8085	3	0.8999999999999999	0.5	7466.3335	0.6734972
