ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,JavaLinker,Bolivia,20150305,8,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Jodles,United Kingdom,20150305,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Johan.de.Ruiter,United States,20150302,14,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Jose_Linares,United States,20150302,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Joupa,United States,20150305,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Kamina,India,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,KanchanLuitel,United States,20150304,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Kaspneo,Russia,20150304,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Kent.Caspersen,Denmark,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Kinematic,Czech Republic,20150304,7,3,3,49077,16359,3,1
mmViewProblem,16359: BannerRegistration,KostikBigOne,Russia,20150303,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,LaguneXXX,Spain,20150304,18,7,2,114513,16359,2,3.5
mmViewProblem,16359: BannerRegistration,Lapro,United States,20150305,12,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Liaksiejka,Belarus,20150303,10,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,Maciek.Partyka,Poland,20150304,18,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,MahmoudAGawad,Egypt,20150305,12,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Mate38,Brazil,20150305,11,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Mloody2000,France,20150302,14,2,2,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Mojito1,Luxembourg,20150305,2,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,Monchi,Spain,20150303,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,MonicaMuranyi,Romania,20150303,5,5,1,81795,16359,1,5
mmViewProblem,16359: BannerRegistration,MostafaSaeed,Egypt,20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Mozartted,India,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Mril284,United States,20150304,11,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,Mukundha_G,United States,20150303,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Nadafy,United States,20150303,6,1,1,16359,16359,1,1
