ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,10,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,11,3,3,49077,16359,3,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,12,9,6,147231,16359,6,1.5
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,13,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,14,7,5,114513,16359,5,1.4
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,15,7,4,114513,16359,4,1.75
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,16,5,4,81795,16359,4,1.25
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,17,44,13,719796,16359,13,3.384615385
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,18,22,16,359898,16359,16,1.375
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,19,5,5,81795,16359,5,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,20,11,7,179949,16359,7,1.571428571
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,21,10,6,163590,16359,5,2
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,22,5,4,81795,16359,4,1.25
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150304,23,14,10,229026,16359,10,1.4
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,0,5,4,81795,16359,3,1.666666667
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,1,8,5,130872,16359,5,1.6
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,7,3,3,49077,16359,3,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,8,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,10,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,11,9,6,147231,16359,6,1.5
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,12,7,6,114513,16359,6,1.166666667
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,13,2,2,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150305,23,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,7,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,United States,20150306,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anonymous,Zimbabwe,20150303,12,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,anonymous,Zimbabwe,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,anton.gulikov,Russia,20150305,22,6,1,98154,16359,1,6
mmViewProblem,16359: BannerRegistration,antoshkaplus,United States,20150303,20,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,antslag,Russia,20150304,17,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,antslag,Russia,20150304,18,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,anubhav11,India,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,aropan,Russia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,arun.vishnu,United States,20150304,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,asavant,United States,20150302,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,asmisha,Belarus,20150303,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,asrata,United States,20150304,19,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,assy0000,Taiwan,20150303,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,aswmtjdsj,United States,20150306,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,athought,India,20150303,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,austincoder,United States,20150305,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,awyeasting,United States,20150304,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,azneye,United States,20150303,0,7,3,114513,16359,3,2.333333333
mmViewProblem,16359: BannerRegistration,azneye,United States,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,azneye,United States,20150303,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,azneye,United States,20150303,23,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,azneye,United States,20150304,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,azneye,United States,20150304,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,back2back,India,20150304,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,baseballnut,United States,20150303,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,bcurcio,Argentina,20150306,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,bdepwgjqet,China,20150303,3,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,bdepwgjqet,China,20150303,4,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,benedikt.fuisz,Austria,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,bijay.bisht,United States,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,binon,Latvia,20150302,13,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,binon,Latvia,20150303,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,biomat,Sweden,20150305,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,bluenet,Japan,20150302,14,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,bnu05pp,United States,20150304,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,bohuss,Slovakia,20150302,14,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,bohuss,Slovakia,20150304,1,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,bohuss,Slovakia,20150306,4,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,8,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,9,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150305,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,boopalanj,India,20150306,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,c7d5a6,Belarus,20150303,9,5,3,81795,16359,3,1.666666667
mmViewProblem,16359: BannerRegistration,cannab,Russia,20150305,2,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,cant_dance,Poland,20150303,4,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,cant_dance,Poland,20150303,5,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,carushi,Japan,20150303,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,caustique,Switzerland,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,caustique,Switzerland,20150304,18,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,cgt03,United States,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,chandan047,India,20150303,9,2,2,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,chandanakiti,India,20150303,9,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,cheaps,United States,20150302,13,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,chengweichi,Taiwan,20150305,10,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,chengweichi,Taiwan,20150305,11,5,3,81795,16359,3,1.666666667
mmViewProblem,16359: BannerRegistration,chicapi,France,20150302,18,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,chicapi,France,20150303,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,chok68,Spain,20150303,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,chris312,United States,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,chunktri,United States,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,claudiobellei,France,20150302,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,cmaher,United States,20150302,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,cmparish,United States,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,codingdrone,India,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,crazygo,(not set),20150304,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,crazygo,China,20150304,21,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,ctrucza,Romania,20150303,13,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,ctrucza,Romania,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,cubixguy77,United States,20150304,17,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,cxz2004,China,20150304,19,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,cyril.v,France,20150303,7,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,cyril.v,France,20150303,12,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,d_jash,Singapore,20150303,3,4,1,65436,16359,0,0
mmViewProblem,16359: BannerRegistration,d_jash,Singapore,20150303,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,d_jash,Singapore,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,d_jash,Singapore,20150304,7,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,d_jash,Singapore,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,daga_sumit,India,20150303,3,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,danbanica,Romania,20150303,3,4,2,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,danbanica,Romania,20150305,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,darol,Poland,20150303,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,dastaan1990,India,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,daviduarte,Brazil,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,daviduarte,Brazil,20150304,18,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,dbgriffith01,United States,20150304,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ddrsmile,Japan,20150304,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,deepak.pucsd,Sweden,20150304,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,defatigue,Nigeria,20150305,4,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,delabourdonnais,Morocco,20150303,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,dexy,Serbia,20150303,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,dhbellol,Colombia,20150305,9,2,2,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,dhruvkalaria,United States,20150305,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,didi_baga,Georgia,20150303,14,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,dilip.thapa,Nepal,20150304,22,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,dilip.thapa,Nepal,20150304,23,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,dima_pp,Russia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,dimonica,Belarus,20150303,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,dkaai,United States,20150305,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,dkotlyarov,United States,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,doudouille,France,20150305,6,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,drewxiu,United States,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,eatingpeaches,United Kingdom,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ecv,Slovenia,20150303,9,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,ecv,Spain,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,emanuele.vespa,United Kingdom,20150304,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,f1zz0_13,India,20150305,4,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,faeton,(not set),20150304,3,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,fanff,China,20150303,4,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,fazam,India,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,fazam,India,20150305,1,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,feather,United States,20150304,2,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,fizzicks,United States,20150305,12,3,2,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,fjardon,France,20150304,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,foota,Japan,20150304,23,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,foota,Japan,20150305,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,fugusuki,Japan,20150306,3,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,ggamble0322,United States,20150302,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ggamble0322,United States,20150303,23,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ghenriques,Canada,20150304,16,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,gkeesh7,India,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,gokul_praveen,United States,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,goldfinch,Russia,20150302,14,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,gurucodes,India,20150304,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,gutoo,South Korea,20150303,11,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,gutoo,South Korea,20150303,12,5,1,81795,16359,0,0
mmViewProblem,16359: BannerRegistration,gutoo,South Korea,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,guy777,France,20150302,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,guy777,France,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,h.ik,Canada,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,h0rm1,United Kingdom,20150304,7,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,hadisotudeh1992,Iran,20150305,3,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,haraduka,Japan,20150302,23,4,3,65436,16359,3,1.333333333
mmViewProblem,16359: BannerRegistration,haraduka,Japan,20150303,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,haraduka,Japan,20150305,6,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,harryprince,China,20150304,23,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,harryprince,China,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,harshaneelhg,United States,20150305,2,9,2,147231,16359,1,9
mmViewProblem,16359: BannerRegistration,hhoomn,Iran,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,hikerclimb,United States,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,hired777,Belarus,20150303,9,7,1,114513,16359,1,7
mmViewProblem,16359: BannerRegistration,hired777,Belarus,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,hokekyo1210,Japan,20150306,7,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,hoshi524,Japan,20150303,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,hrishy,India,20150304,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,htzfun,Ukraine,20150304,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,igraphic,Saudi Arabia,20150303,2,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,igraphic,Saudi Arabia,20150303,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,iiitaboy,India,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,impatient23,Bangladesh,20150303,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,imwilly37,Taiwan,20150304,1,6,1,98154,16359,0,0
mmViewProblem,16359: BannerRegistration,imwilly37,Taiwan,20150304,2,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,insik92,South Korea,20150304,20,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,ir2pid,India,20150302,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ironp,Kazakhstan,20150303,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ironp,Kazakhstan,20150305,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,itkarthi02,India,20150305,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,its_akash,India,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ivan_metelsky,Belarus,20150303,7,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,jaikamal,India,20150302,14,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,jaikamal,India,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,jaikamal,India,20150303,11,4,1,65436,16359,0,0
mmViewProblem,16359: BannerRegistration,Jan-94,Spain,20150302,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,jasonw,United States,20150304,18,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,jbardo,France,20150305,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,jbgeddes3,United States,20150302,14,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,jcaip,United States,20150303,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,jhtvarma,India,20150303,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,joeycool,Jamaica,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,jtamagna,United States,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,22-Jun,United States,20150302,13,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,22-Jun,United States,20150305,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,juniuszhou,United States,20150303,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kamalkishor1991,India,20150304,23,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kamalkishor1991,India,20150305,1,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,kata.choi,United States,20150304,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,khuder,Mongolia,20150304,6,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,khunshan,Pakistan,20150305,11,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ki-ki,Japan,20150304,18,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,kliner,China,20150303,3,3,1,49077,16359,0,0
mmViewProblem,16359: BannerRegistration,knighthunter,Singapore,20150305,7,5,1,81795,16359,1,5
mmViewProblem,16359: BannerRegistration,kohei0418,Japan,20150304,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,koyumeishi,Japan,20150306,2,5,1,81795,16359,0,0
mmViewProblem,16359: BannerRegistration,kpoxa2l,Russia,20150303,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,krishten,India,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,krisjen,United States,20150304,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,ksma,Hong Kong,20150304,17,5,3,81795,16359,3,1.666666667
mmViewProblem,16359: BannerRegistration,ksma,Hong Kong,20150304,18,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,kudkudak,United States,20150304,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kumar.virakta,India,20150304,7,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,kwrig,Japan,20150304,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kyerise,Zimbabwe,20150303,12,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,kyerise,Zimbabwe,20150303,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kyerise,Zimbabwe,20150304,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,kym1201,Japan,20150302,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lakhu_jigsaw,United States,20150304,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lanix_,China,20150305,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lejosne,United States,20150304,18,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,limed,Lithuania,20150302,13,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,lionelc,United States,20150302,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lipsum,Japan,20150302,22,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,lipsum,Japan,20150303,7,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,lipsum,Japan,20150304,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lizame2012,United States,20150303,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lizame2012,United States,20150303,16,5,1,81795,16359,1,5
mmViewProblem,16359: BannerRegistration,lizame2012,United States,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,lkun.erlv,United States,20150304,18,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,ll931110,United States,20150305,10,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,m12sl,Russia,20150304,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,m8,Egypt,20150304,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,machy,Japan,20150304,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,madanmaun,United States,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,madbn,United Kingdom,20150305,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,madbn,United Kingdom,20150305,4,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,madbn,United Kingdom,20150305,5,4,2,65436,16359,2,2
mmViewProblem,16359: BannerRegistration,mah_1234,United States,20150302,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,malcomun,Colombia,20150305,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,maniek,Poland,20150304,23,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,marchyoung,United States,20150304,18,6,1,98154,16359,1,6
mmViewProblem,16359: BannerRegistration,marsavic,Serbia,20150304,17,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,marsavic,Serbia,20150304,18,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,marsavic,Serbia,20150305,21,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,marsavic,Serbia,20150306,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,martin.trojak,Slovakia,20150302,15,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,martinezgjuan,France,20150305,7,5,2,81795,16359,2,2.5
mmViewProblem,16359: BannerRegistration,mastermark,China,20150305,2,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,mateuszlewko,Poland,20150305,1,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,mathlete314,United States,20150304,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,maxareo,United States,20150303,20,7,3,114513,16359,3,2.333333333
mmViewProblem,16359: BannerRegistration,mayank24,India,20150305,0,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,mayank8888,Germany,20150303,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,mbaros,Armenia,20150302,14,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,mcw1142,United States,20150304,23,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,mcw1142,United States,20150305,1,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,megaterik,Belarus,20150305,5,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,metdos,Turkey,20150305,3,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,mgidron,United States,20150302,21,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,mgkc,Poland,20150303,7,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,michaelchen01,United States,20150304,13,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,midrux,Argentina,20150303,9,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,midrux,Argentina,20150303,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,midrux,Argentina,20150305,8,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,midrux,Argentina,20150305,12,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,miguel_clean,Poland,20150303,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,miguel_clean,Poland,20150304,3,3,1,49077,16359,1,3
