ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:pagePath,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent,ga:timeOnPage
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150303,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,2,1,0
mmViewProblem,16359: BannerRegistration,F.L.K,China,20150305,21,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Fdg,Ukraine,20150305,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Fdg,Ukraine,20150305,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,GoogleHireMe,Ukraine,20150305,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Gordak,Switzerland,20150303,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Gradient12,Netherlands,20150303,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Hans_G_Krosing,Estonia,20150304,19,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,IoanMPopdan,Romania,20150305,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Irioth,Russia,20150303,2,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,Irioth,Russia,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150303,23,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,6,2,97557,16259.5,2,3,0
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150304,1,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150305,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150305,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Ironhawks,Singapore,20150305,7,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JK24,Belarus,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,8,1,136579,17072.375,1,8,0
mmViewProblem,16359: BannerRegistration,JK24,Belarus,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,2,1,39023,19511.5,0,0,0
