ga:eventCategory	ga:eventLabel	ga:eventAction	ga:date	ga:eventValue
mmViewProblem	Rizvanov_de_xXx	16359: BannerRegistration	20150305	32718
mmViewProblem	Robert.Beckett	16359: BannerRegistration	20150304	16359
mmViewProblem	RobinWang	16359: BannerRegistration	20150302	49077
mmViewProblem	Rubanenko	16359: BannerRegistration	20150303	98154
mmViewProblem	SIGCHLD	16359: BannerRegistration	20150305	130872
mmViewProblem	SePulTribe	16359: BannerRegistration	20150304	81795
mmViewProblem	SePulTribe	16359: BannerRegistration	20150305	16359
mmViewProblem	SebM	16359: BannerRegistration	20150302	49077
mmViewProblem	SebM	16359: BannerRegistration	20150303	16359
mmViewProblem	Seip_meginu	16359: BannerRegistration	20150305	32718
mmViewProblem	SoberMonkey	16359: BannerRegistration	20150304	16359
mmViewProblem	Sord	16359: BannerRegistration	20150304	16359
mmViewProblem	Steven_Huang	16359: BannerRegistration	20150304	130872
mmViewProblem	Swistakk	16359: BannerRegistration	20150305	16359
mmViewProblem	T-Masaaki	16359: BannerRegistration	20150305	16359
mmViewProblem	TMALBONPH	16359: BannerRegistration	20150304	49077
mmViewProblem	TahaMahmoud	16359: BannerRegistration	20150302	32718
mmViewProblem	TahaMahmoud	16359: BannerRegistration	20150303	16359
mmViewProblem	Taquion	16359: BannerRegistration	20150303	16359
mmViewProblem	Tokiru	16359: BannerRegistration	20150305	179949
mmViewProblem	ToughG	16359: BannerRegistration	20150302	16359
mmViewProblem	Tqup3	16359: BannerRegistration	20150303	16359
mmViewProblem	TrePe	16359: BannerRegistration	20150305	49077
mmViewProblem	Uchigle	16359: BannerRegistration	20150304	49077
mmViewProblem	Uchigle	16359: BannerRegistration	20150305	16359
mmViewProblem	VArt	16359: BannerRegistration	20150303	49077
mmViewProblem	V[i]ctor	16359: BannerRegistration	20150304	32718
mmViewProblem	V[i]ctor	16359: BannerRegistration	20150305	16359
mmViewProblem	Vardan(RAU)	16359: BannerRegistration	20150305	32718
mmViewProblem	Venug	16359: BannerRegistration	20150305	98154
mmViewProblem	Vetteru	16359: BannerRegistration	20150303	179949
mmViewProblem	WTrei	16359: BannerRegistration	20150303	16359
mmViewProblem	WTrei	16359: BannerRegistration	20150304	16359
mmViewProblem	Wilxzzz	16359: BannerRegistration	20150303	32718
mmViewProblem	WojciechMigda	16359: BannerRegistration	20150303	49077
mmViewProblem	WojciechMigda	16359: BannerRegistration	20150304	32718
mmViewProblem	WojciechMigda	16359: BannerRegistration	20150305	65436
mmViewProblem	Wook.Song	16359: BannerRegistration	20150304	16359
mmViewProblem	Yeko	16359: BannerRegistration	20150305	16359
mmViewProblem	Yizuz	16359: BannerRegistration	20150304	16359
mmViewProblem	YurkoFlisk	16359: BannerRegistration	20150303	16359
mmViewProblem	_Kevin	16359: BannerRegistration	20150303	16359
mmViewProblem	_Romka_	16359: BannerRegistration	20150303	32718
mmViewProblem	_dp_singh	16359: BannerRegistration	20150302	16359
mmViewProblem	aakinola	16359: BannerRegistration	20150303	32718
mmViewProblem	aarticodes	16359: BannerRegistration	20150304	16359
mmViewProblem	abcivashritt	16359: BannerRegistration	20150303	16359
mmViewProblem	abhi117	16359: BannerRegistration	20150303	16359
mmViewProblem	abhishek.awale	16359: BannerRegistration	20150305	16359
mmViewProblem	ablasco	16359: BannerRegistration	20150304	32718
mmViewProblem	ablasco	16359: BannerRegistration	20150305	98154
mmViewProblem	abundrew	16359: BannerRegistration	20150303	65436
mmViewProblem	adk90	16359: BannerRegistration	20150304	32718
mmViewProblem	ads71993	16359: BannerRegistration	20150305	16359
mmViewProblem	afrhu	16359: BannerRegistration	20150302	32718
mmViewProblem	aguimont	16359: BannerRegistration	20150306	16359
mmViewProblem	ahoenig	16359: BannerRegistration	20150302	65436
mmViewProblem	ahoenig	16359: BannerRegistration	20150306	49077
mmViewProblem	ainu7	16359: BannerRegistration	20150303	49077
mmViewProblem	air13	16359: BannerRegistration	20150305	16359
mmViewProblem	ajr.grubbs	16359: BannerRegistration	20150302	16359
mmViewProblem	akarwa	16359: BannerRegistration	20150303	32718
mmViewProblem	aklecram	16359: BannerRegistration	20150305	16359
mmViewProblem	akovski	16359: BannerRegistration	20150303	16359
mmViewProblem	akshat-10	16359: BannerRegistration	20150305	16359
mmViewProblem	al_gol	16359: BannerRegistration	20150304	114513
mmViewProblem	alazyrabbit	16359: BannerRegistration	20150303	16359
mmViewProblem	alazyrabbit	16359: BannerRegistration	20150304	32718
mmViewProblem	alcanta	16359: BannerRegistration	20150302	32718
mmViewProblem	alcanta	16359: BannerRegistration	20150303	49077
mmViewProblem	alecn2002	16359: BannerRegistration	20150303	49077
mmViewProblem	alegro	16359: BannerRegistration	20150303	16359
mmViewProblem	alex90	16359: BannerRegistration	20150304	16359
mmViewProblem	alexey.dvortsov	16359: BannerRegistration	20150304	16359
mmViewProblem	alexpeptan	16359: BannerRegistration	20150303	49077
mmViewProblem	alexpeptan	16359: BannerRegistration	20150304	16359
mmViewProblem	alinionut.popa	16359: BannerRegistration	20150303	49077
mmViewProblem	ananthhh	16359: BannerRegistration	20150303	32718
mmViewProblem	andrei.ai	16359: BannerRegistration	20150303	16359
mmViewProblem	andrey_korol	16359: BannerRegistration	20150305	16359
mmViewProblem	andrez89	16359: BannerRegistration	20150304	16359
mmViewProblem	anonymous	16359: BannerRegistration	20150301	16359
mmViewProblem	anonymous	16359: BannerRegistration	20150302	4645956
mmViewProblem	anonymous	16359: BannerRegistration	20150303	8359449
